,unemployment_rate,employment_rate,eco_population,employment,inflation
2001-01-31,0.051,0.9494678389634429,0.00783509001026017,0.015239980207818027,0.034
2001-02-28,0.055,0.9454092000738962,0.009040917140460403,0.01161354089448996,0.036000000000000004
2001-03-31,0.051,0.9489292343912709,0.012700596056854696,0.012707769617317233,0.04
2001-04-30,0.040999999999999995,0.9591106003005924,0.023434672457473882,0.027563343594600997,0.048
2001-05-31,0.037000000000000005,0.9631724319347625,0.021130859112683087,0.025630252100840245,0.053
2001-06-30,0.036000000000000004,0.964244976748267,0.020048330797458158,0.023421493760476864,0.05
2001-07-31,0.036000000000000004,0.9637931789326213,0.01474965569327824,0.018412287194670807,0.048
2001-08-31,0.036000000000000004,0.9635937361762364,0.014313276798133323,0.01884939195509827,0.047
2001-09-30,0.033,0.9668406509057414,0.014732063379027993,0.022355178331246117,0.033
2001-10-31,0.033,0.9665997205728258,0.014663536082930806,0.018775021858175034,0.034
2001-11-30,0.034,0.9661438993490892,0.020370865650352066,0.025503106742094106,0.034
2001-12-31,0.037000000000000005,0.962609352102669,0.021547813463981047,0.028759906981159045,0.032
2002-01-31,0.040999999999999995,0.958710660808751,0.032207311429893526,0.04225558046593236,0.026000000000000002
2002-02-28,0.040999999999999995,0.9592885552129418,0.033484204692407094,0.04865657059110884,0.026000000000000002
2002-03-31,0.038,0.9619605941728744,0.027165300855706898,0.04127105300825429,0.023
2002-04-30,0.034,0.9661295200241932,0.0232074971266909,0.030695487855463943,0.025
2002-05-31,0.031000000000000003,0.9685994494150034,0.019246788548380023,0.02498975829578054,0.03
2002-06-30,0.028999999999999998,0.9706805382399724,0.020487847679213855,0.027298785204058484,0.026000000000000002
2002-07-31,0.03,0.9696189495365604,0.020270566087299047,0.02643772144998624,0.021
2002-08-31,0.032,0.9680347448425625,0.018534902238343864,0.02322912362851759,0.024
2002-09-30,0.027000000000000003,0.972751573682849,0.017325321286021156,0.023544889534092395,0.031000000000000003
2002-10-31,0.027999999999999997,0.9716004296455425,0.016198044009779977,0.021455350286824215,0.027999999999999997
2002-11-30,0.028999999999999998,0.9713322091062395,0.010309728714341881,0.015735214324471114,0.035
2002-12-31,0.031000000000000003,0.9686884169038757,0.014032594697810818,0.02043640725192608,0.037000000000000005
2003-01-31,0.037000000000000005,0.9625378181171027,0.007621267820317357,0.011643675473462789,0.038
2003-02-28,0.038,0.9615298890028083,0.0025025696027169975,0.0048448709587254335,0.039
2003-03-31,0.037000000000000005,0.962740014939145,0.0031736236611275004,0.003986436950146555,0.045
2003-04-30,0.035,0.9654798089448544,-0.005054650710675235,-0.005723740106425845,0.037000000000000005
2003-05-31,0.034,0.9660944021341594,-0.0003011011699931565,-0.00288657962518879,0.032
2003-06-30,0.034,0.9657440041261928,0.00021495206568933334,-0.004871783515656092,0.03
2003-07-31,0.036000000000000004,0.9644431132600231,0.002875042911088199,-0.0024783147459727095,0.032
