,const_flow,const_order,const_growth,civil_engine,estimated_construction
2000-02-29,-0.133,0.617,-0.057999999999999996,-0.212,0.021876959726036708
2000-03-31,-0.037000000000000005,0.557,-0.01,-0.071,-0.02481533181672144
2000-04-30,-0.07,-0.044000000000000004,-0.043,-0.10300000000000001,-0.006936537505960835
2000-05-31,0.008,0.188,0.065,-0.06,0.044834364819420214
2000-06-30,-0.027999999999999997,0.319,0.027999999999999997,-0.092,-0.020105413213551956
2000-07-31,-0.023,0.127,0.003,-0.057,-0.01924165779428272
2000-08-31,-0.042,0.43,-0.005,-0.09,0.008202315199084698
2000-09-30,-0.078,-0.184,-0.027999999999999997,-0.13699999999999998,0.04269680459236275
2000-10-31,-0.023,-0.168,0.022000000000000002,-0.078,-0.02447225066436739
2000-11-30,-0.042,-0.075,-0.02,-0.068,0.018353822610965825
2000-12-31,-0.016,0.006999999999999999,0.042,-0.069,-0.026886817612639745
2001-01-31,0.062000000000000006,-0.188,0.057,0.068,-0.0003686164213863516
2001-02-28,0.09699999999999999,-0.034,0.084,0.113,0.03150968263858268
2001-03-31,0.027999999999999997,-0.218,0.05,-0.001,0.030506296601308165
2001-04-30,0.057999999999999996,0.087,0.12,-0.023,-0.009987073039750445
2001-05-31,0.023,0.217,0.07200000000000001,-0.044000000000000004,-0.011591411076461701
2001-06-30,-0.039,-0.043,0.024,-0.121,0.008621765430973972
2001-07-31,-0.063,0.21100000000000002,0.033,-0.195,0.04060994050873233
2001-08-31,0.098,-0.105,0.151,0.023,0.05708122377652844
2001-09-30,0.257,0.71,0.25,0.266,0.0703556111352609
2001-10-31,0.075,0.368,0.157,-0.038,0.010249527864403307
2001-11-30,0.166,0.875,0.272,0.027999999999999997,0.028373959071866267
2001-12-31,0.187,0.71,0.332,0.036000000000000004,0.035711052216007316
2002-01-31,0.198,0.55,0.307,0.055,0.03499189734732333
2002-02-28,0.19399999999999998,0.493,0.36600000000000005,-0.016,0.04755386668269318
2002-03-31,0.079,1.732,0.17500000000000002,-0.053,0.027120511088762733
2002-04-30,0.046,0.519,0.121,-0.068,0.03154039210925452
2002-05-31,0.021,0.195,0.085,-0.076,0.010680681706129347
2002-06-30,0.094,0.11,0.158,-0.004,0.004222571399759123
2002-07-31,0.157,0.217,0.17800000000000002,0.121,-0.015116311578773245
2002-08-31,-0.025,0.7390000000000001,0.06,-0.16,-0.008687831722099415
2002-09-30,-0.098,-0.145,0.031000000000000003,-0.265,0.013598773674870834
2002-10-31,0.079,0.27,0.10300000000000001,0.039,0.051380743610972224
