,moneraty_rate,cpi_rate,ccpi_without_arg_crd_oil,ccpi_without_food_energy,retail_consumption,vehicle_consumption,hushld_loan,durb_goods_sales,quas_drub_goods_sales,non_durb_goods_sales,estimated_consumption
2000-02-01,0.013999999999999999,0.018000000000000002,0.011000000000000001,0.008,0.519,0.33,0.10039999999999999,0.541,0.095,0.091,0.06271998043039223
2000-03-01,0.023,0.021,0.015,0.013000000000000001,0.516,0.294,0.1005,0.383,0.1,0.092,0.06740100440540103
2000-04-01,0.018000000000000002,0.013999999999999999,0.016,0.015,0.527,0.262,0.09960000000000001,0.335,0.125,0.11599999999999999,0.03099416108080627
2000-05-01,0.011000000000000001,0.011000000000000001,0.015,0.013000000000000001,0.542,0.308,0.09960000000000001,0.376,0.11199999999999999,0.17300000000000001,0.013406181781722204
2000-06-01,0.006,0.022000000000000002,0.016,0.015,0.536,0.32299999999999995,0.0987,0.348,0.086,0.11699999999999999,0.03368316395294263
2000-07-01,0.006999999999999999,0.03,0.02,0.02,0.552,0.36700000000000005,0.0992,0.364,0.08800000000000001,0.08900000000000001,0.034290636122360996
2000-08-01,0.019,0.024,0.021,0.022000000000000002,0.546,0.316,0.0977,0.22100000000000003,0.076,0.129,0.011526356826537354
2000-09-01,0.038,0.035,0.025,0.027000000000000003,0.528,0.294,0.0976,0.166,0.096,0.049,0.030302868292234275
2000-10-01,0.026000000000000002,0.026000000000000002,0.023,0.026000000000000002,0.53,0.27899999999999997,0.0984,0.063,0.026000000000000002,0.077,0.018808890911990672
2000-11-01,0.031000000000000003,0.022000000000000002,0.023,0.026000000000000002,0.544,0.26,0.0971,0.015,0.063,0.11,0.006082518565567074
2000-12-01,0.038,0.027999999999999997,0.028999999999999998,0.028999999999999998,0.525,0.23399999999999999,0.09480000000000001,0.006999999999999999,0.021,0.044000000000000004,0.009276196721887509
2001-01-01,0.052000000000000005,0.034,0.032,0.032,0.539,0.256,0.09210000000000002,-0.076,0.066,0.147,0.010292777364927508
2001-02-01,0.055999999999999994,0.036000000000000004,0.032,0.034,0.547,0.29,0.0913,0.004,0.044000000000000004,-0.021,0.009455048075615036
2001-03-01,0.048,0.04,0.033,0.034,0.546,0.303,0.0884,0.048,0.094,0.04,0.012576659744645946
2001-04-01,0.043,0.048,0.036000000000000004,0.036000000000000004,0.555,0.315,0.087,0.102,0.044000000000000004,0.027999999999999997,0.021709405766544343
