,facil_inv,comp_yield,manuf_inv,prod_idx,manuf_ship_idx,inven_idx,util_idx,machine_order,service_idx,retail_idx,estimated_facility
2000-02-29,0.615,0.0824,0.44714,0.525,0.49395000000000006,0.38614,1.08079,0.094,0.55,0.669,0.352221987086192
2000-03-31,0.479,0.0844,0.45124000000000003,0.536,0.49395000000000006,0.39411,1.09169,0.252,0.556,0.6709999999999999,0.2239169947103512
2000-04-30,0.441,0.08199999999999999,0.44734,0.535,0.49057,0.38497000000000003,1.07281,0.14800000000000002,0.55,0.6859999999999999,0.1051118401439104
2000-05-31,0.387,0.0824,0.46448,0.549,0.50514,0.38876,1.12181,0.038,0.562,0.684,0.07114425300600868
2000-06-30,0.364,0.0821,0.45875,0.551,0.50123,0.39176000000000005,1.09479,-0.133,0.5700000000000001,0.6779999999999999,0.08931999704935656
2000-07-31,0.28800000000000003,0.0815,0.47467,0.557,0.52103,0.39352,1.13651,0.384,0.569,0.6950000000000001,0.12228958470552587
2000-08-31,0.41500000000000004,0.0802,0.4828,0.555,0.52902,0.39272,1.14029,0.12400000000000001,0.564,0.701,0.16127598990833047
2000-09-30,0.22100000000000003,0.0809,0.47073000000000004,0.55,0.51508,0.39770000000000005,1.10925,0.071,0.564,0.691,0.06279501896204032
2000-10-31,0.177,0.08130000000000001,0.46633,0.549,0.50514,0.40787,1.0983,-0.12300000000000001,0.5650000000000001,0.677,0.023022583770317073
2000-11-30,-0.004,0.08109999999999999,0.45993,0.544,0.49652,0.41529000000000005,1.08563,0.138,0.569,0.6900000000000001,-0.028487555514974172
2000-12-31,-0.053,0.08109999999999999,0.45419,0.534,0.49652,0.41960000000000003,1.07863,0.855,0.56,0.6809999999999999,-0.025958668113414074
2001-01-31,-0.045,0.08230000000000001,0.44959000000000005,0.547,0.49918999999999997,0.43094000000000005,1.0639100000000001,-0.039,0.584,0.698,-0.0023643317256125673
2001-02-28,-0.031000000000000003,0.0805,0.45391,0.549,0.49529000000000006,0.43674999999999997,1.05529,0.161,0.5770000000000001,0.7020000000000001,0.001689159061027956
2001-03-31,-0.07,0.0802,0.45553,0.551,0.49918999999999997,0.43901000000000007,1.0627,0.5860000000000001,0.578,0.703,-0.014880431203416089
2001-04-30,-0.109,0.0785,0.45816,0.56,0.50186,0.43827,1.06203,-0.11699999999999999,0.585,0.7140000000000001,-0.0317622053138078
2001-05-31,-0.09699999999999999,0.07740000000000001,0.46174,0.568,0.5071800000000001,0.43829,1.0662099999999999,0.378,0.5970000000000001,0.721,-0.032000227191321784
2001-06-30,-0.115,0.0761,0.46253,0.563,0.50913,0.43674999999999997,1.0586,-0.105,0.595,0.725,-0.043641226330128235
2001-07-31,-0.09699999999999999,0.0755,0.45292000000000004,0.56,0.49857,0.43259000000000003,1.04616,-0.294,0.593,0.7320000000000001,-0.040460236836421526
2001-08-31,-0.227,0.0729,0.46431,0.573,0.5117900000000001,0.42699,1.05343,-0.203,0.599,0.74,-0.0788088639181983
2001-09-30,-0.08900000000000001,0.0712,0.46314,0.578,0.51046,0.42697,1.0503,-0.091,0.6,0.743,-0.01271888180276104
2001-10-31,-0.09300000000000001,0.0693,0.46687,0.579,0.51713,0.425,1.04434,-0.048,0.6070000000000001,0.736,-0.004561557416540962
2001-11-30,-0.026000000000000002,0.0678,0.47005,0.584,0.51908,0.42143,1.04511,0.032,0.616,0.746,0.007213799287768108
