"시점",원데이터,전년동월 대비 증감률
"1965.01",2.493,
"1965.02",2.548,
"1965.03",2.553,
"1965.04",2.593,
"1965.05",2.645,
"1965.06",2.621,
"1965.07",2.654,
"1965.08",2.682,
"1965.09",2.668,
"1965.10",2.652,
"1965.11",2.607,
"1965.12",2.615,
"1966.01",2.678,7.4
"1966.02",2.754,8.1
"1966.03",2.798,9.6
"1966.04",2.827,9.0
"1966.05",2.906,9.9
"1966.06",2.910,11.0
"1966.07",2.897,9.2
"1966.08",2.957,10.3
"1966.09",3.012,12.9
"1966.10",3.090,16.5
"1966.11",3.012,15.5
"1966.12",3.014,15.3
"1967.01",3.031,13.2
"1967.02",3.074,11.6
"1967.03",3.117,11.4
"1967.04",3.201,13.2
"1967.05",3.232,11.2
"1967.06",3.196,9.8
"1967.07",3.201,10.5
"1967.08",3.240,9.6
"1967.09",3.292,9.3
"1967.10",3.344,8.2
"1967.11",3.365,11.7
"1967.12",3.362,11.5
"1968.01",3.428,13.1
"1968.02",3.481,13.2
"1968.03",3.516,12.8
"1968.04",3.514,9.8
"1968.05",3.521,8.9
"1968.06",3.535,10.6
"1968.07",3.533,10.4
"1968.08",3.555,9.7
"1968.09",3.573,8.5
"1968.10",3.670,9.7
"1968.11",3.757,11.6
"1968.12",3.733,11.0
"1969.01",3.830,11.7
"1969.02",3.853,10.7
"1969.03",3.883,10.4
"1969.04",3.903,11.1
"1969.05",3.928,11.6
"1969.06",3.942,11.5
"1969.07",3.942,11.6
"1969.08",3.962,11.4
"1969.09",4.090,14.5
"1969.10",4.200,14.4
"1969.11",4.247,13.0
"1969.12",4.341,16.3
"1970.01",4.400,14.9
"1970.02",4.488,16.5
"1970.03",4.586,18.1
"1970.04",4.684,20.0
"1970.05",4.637,18.0
"1970.06",4.539,15.1
"1970.07",4.571,16.0
"1970.08",4.604,16.2
"1970.09",4.716,15.3
"1970.10",4.809,14.5
"1970.11",4.800,13.0
"1970.12",4.967,14.4
"1971.01",5.098,15.9
"1971.02",5.199,15.8
"1971.03",5.297,15.5
"1971.04",5.274,12.6
"1971.05",5.180,11.7
"1971.06",5.172,13.9
"1971.07",5.264,15.2
"1971.08",5.311,15.4
"1971.09",5.400,14.5
"1971.10",5.357,11.4
"1971.11",5.366,11.8
"1971.12",5.418,9.1
"1972.01",5.501,7.9
"1972.02",5.677,9.2
"1972.03",5.836,10.2
"1972.04",5.874,11.4
"1972.05",5.898,13.9
"1972.06",5.930,14.7
"1972.07",5.993,13.8
"1972.08",6.087,14.6
"1972.09",6.092,12.8
"1972.10",6.022,12.4
"1972.11",5.911,10.2
"1972.12",5.915,9.2
"1973.01",5.934,7.9
"1973.02",5.952,4.8
"1973.03",5.961,2.1
"1973.04",5.993,2.0
"1973.05",6.028,2.2
"1973.06",6.013,1.4
"1973.07",6.046,0.9
"1973.08",6.106,0.3
"1973.09",6.157,1.1
"1973.10",6.166,2.4
"1973.11",6.241,5.6
"1973.12",6.417,8.5
"1974.01",6.692,12.8
"1974.02",7.045,18.4
"1974.03",7.310,22.6
"1974.04",7.446,24.2
"1974.05",7.483,24.1
"1974.06",7.427,23.5
"1974.07",7.589,25.5
"1974.08",7.827,28.2
"1974.09",7.957,29.2
"1974.10",7.883,27.8
"1974.11",7.989,28.0
"1974.12",8.114,26.4
"1975.01",8.394,25.4
"1975.02",8.546,21.3
"1975.03",8.707,19.1
"1975.04",8.982,20.6
"1975.05",9.304,24.3
"1975.06",9.427,26.9
"1975.07",9.598,26.5
"1975.08",9.807,25.3
"1975.09",10.148,27.5
"1975.10",10.290,30.5
"1975.11",10.214,27.9
"1975.12",10.262,26.5
"1976.01",10.328,23.0
"1976.02",10.441,22.2
"1976.03",10.622,22.0
"1976.04",10.735,19.5
"1976.05",10.801,16.1
"1976.06",10.905,15.7
"1976.07",11.115,15.8
"1976.08",11.228,14.5
"1976.09",11.313,11.5
"1976.10",11.190,8.7
"1976.11",11.180,9.5
"1976.12",11.247,9.6
"1977.01",11.331,9.7
"1977.02",11.598,11.1
"1977.03",11.758,10.7
"1977.04",11.768,9.6
"1977.05",11.890,10.1
"1977.06",12.005,10.1
"1977.07",12.157,9.4
"1977.08",12.318,9.7
"1977.09",12.355,9.2
"1977.10",12.318,10.1
"1977.11",12.365,10.6
"1977.12",12.479,11.0
"1978.01",12.839,13.3
"1978.02",13.104,13.0
"1978.03",13.274,12.9
"1978.04",13.255,12.6
"1978.05",13.388,12.6
"1978.06",13.757,14.6
"1978.07",13.956,14.8
"1978.08",13.985,13.5
"1978.09",14.268,15.5
"1978.10",14.392,16.8
"1978.11",14.468,17.0
"1978.12",14.524,16.4
"1979.01",14.648,14.1
"1979.02",15.160,15.7
"1979.03",15.435,16.3
"1979.04",15.813,19.3
"1979.05",16.307,21.8
"1979.06",16.458,19.6
"1979.07",16.533,18.5
"1979.08",16.590,18.6
"1979.09",16.818,17.9
"1979.10",16.931,17.6
"1979.11",17.187,18.8
"1979.12",17.604,21.2
