"날짜","종가","시가","고가","저가","변동 %"
"2014- 01- 17","3.250","3.240","3.250","3.240","0.00%"
"2014- 01- 16","3.250","3.270","3.280","3.240","-0.31%"
"2014- 01- 15","3.260","3.250","3.280","3.240","0.62%"
"2014- 01- 14","3.240","3.220","3.240","3.210","0.31%"
"2014- 01- 13","3.230","3.220","3.240","3.210","-1.22%"
"2014- 01- 11","3.270","3.270","3.270","3.270","0.00%"
"2014- 01- 10","3.270","3.270","3.290","3.250","0.00%"
"2014- 01- 09","3.270","3.240","3.300","3.240","1.24%"
"2014- 01- 08","3.230","3.260","3.270","3.200","-0.92%"
"2014- 01- 07","3.260","3.250","3.290","3.240","-0.31%"
"2014- 01- 06","3.270","3.320","3.320","3.260","-1.65%"
"2014- 01- 03","3.325","3.305","3.355","3.290","0.76%"
"2014- 01- 02","3.300","3.235","3.315","3.235","2.17%"
"2013- 12- 31","3.230","3.230","3.230","3.230","-0.15%"
"2013- 12- 30","3.235","3.190","3.235","3.160","1.25%"
"2013- 12- 29","3.195","3.190","3.195","3.190","0.16%"
"2013- 12- 27","3.190","3.220","3.220","3.180","-1.54%"
"2013- 12- 26","3.240","3.220","3.245","3.220","0.62%"
"2013- 12- 25","3.220","3.225","3.225","3.220","-0.16%"
"2013- 12- 24","3.225","3.225","3.255","3.215","0.00%"
"2013- 12- 23","3.225","3.245","3.250","3.215","-0.46%"
"2013- 12- 20","3.240","3.250","3.275","3.230","-0.31%"
"2013- 12- 19","3.250","3.245","3.290","3.230","-0.31%"
"2013- 12- 18","3.260","3.240","3.260","3.220","1.09%"
"2013- 12- 17","3.225","3.275","3.310","3.225","-2.27%"
"2013- 12- 16","3.300","3.330","3.370","3.270","-1.79%"
"2013- 12- 13","3.360","3.365","3.375","3.250","0.45%"
"2013- 12- 12","3.345","3.365","3.395","3.340","-0.74%"
"2013- 12- 11","3.370","3.335","3.370","3.325","0.75%"
"2013- 12- 10","3.345","3.340","3.370","3.325","-0.15%"
"2013- 12- 09","3.350","3.390","3.425","3.390","-1.18%"
"2013- 12- 08","3.390","3.390","3.390","3.390","-0.29%"
"2013- 12- 06","3.400","3.410","3.420","3.370","-0.29%"
"2013- 12- 05","3.410","3.390","3.425","3.375","1.19%"
"2013- 12- 04","3.370","3.385","3.400","3.360","-0.59%"
"2013- 12- 03","3.390","3.390","3.410","3.350","-0.15%"
"2013- 12- 02","3.395","3.340","3.400","3.330","1.65%"
"2013- 11- 29","3.340","3.320","3.350","3.300","0.60%"
"2013- 11- 28","3.320","3.295","3.325","3.290","0.61%"
"2013- 11- 27","3.300","3.290","3.300","3.270","0.61%"
"2013- 11- 26","3.280","3.310","3.350","3.240","0.15%"
"2013- 11- 25","3.275","3.285","3.310","3.265","-0.30%"
"2013- 11- 22","3.285","3.315","3.343","3.280","-0.30%"
"2013- 11- 21","3.295","3.295","3.355","3.220","0.37%"
"2013- 11- 20","3.283","3.280","3.305","3.240","1.02%"
"2013- 11- 19","3.250","3.240","3.290","3.220","0.15%"
"2013- 11- 18","3.245","3.245","3.250","3.230","0.00%"
"2013- 11- 17","3.245","3.245","3.245","3.240","0.00%"
"2013- 11- 15","3.245","3.230","3.250","3.200","0.15%"
"2013- 11- 14","3.240","3.225","3.240","3.155","0.47%"
"2013- 11- 13","3.225","3.240","3.300","3.220","-0.46%"
"2013- 11- 12","3.240","3.235","3.265","3.230","0.15%"
"2013- 11- 11","3.235","3.145","3.250","3.135","2.70%"
"2013- 11- 10","3.150","3.145","3.150","3.145","0.16%"
"2013- 11- 08","3.145","3.150","3.170","3.130","-0.16%"
"2013- 11- 07","3.150","3.140","3.200","3.130","0.32%"
"2013- 11- 06","3.140","3.120","3.180","3.100","0.80%"
"2013- 11- 05","3.115","3.110","3.155","3.100","0.32%"
"2013- 11- 04","3.105","3.090","3.130","3.075","0.65%"
"2013- 11- 03","3.085","3.055","3.090","3.055","0.98%"
"2013- 11- 01","3.055","3.050","3.090","3.010","1.16%"
"2013- 10- 31","3.020","3.020","3.060","3.020","0.00%"
"2013- 10- 30","3.020","3.030","3.050","3.010","-0.66%"
"2013- 10- 29","3.040","3.060","3.070","3.030","-0.82%"
"2013- 10- 28","3.065","3.030","3.060","3.030","1.16%"
"2013- 10- 27","3.030","3.040","3.040","3.030","-0.33%"
"2013- 10- 25","3.040","3.040","3.050","3.005","0.33%"
"2013- 10- 24","3.030","3.020","3.055","3.000","-0.33%"
"2013- 10- 23","3.040","3.090","3.100","3.010","-1.78%"
"2013- 10- 22","3.095","3.100","3.120","3.090","0.16%"
"2013- 10- 21","3.090","3.075","3.110","3.075","0.32%"
"2013- 10- 20","3.080","3.075","3.080","3.075","-0.16%"
"2013- 10- 18","3.085","3.120","3.145","3.070","-1.28%"
"2013- 10- 17","3.125","3.140","3.180","3.100","-0.48%"
"2013- 10- 16","3.140","3.160","3.195","3.140","-0.48%"
"2013- 10- 15","3.155","3.150","3.175","3.130","0.64%"
"2013- 10- 14","3.135","3.125","3.165","3.110","0.16%"
"2013- 10- 13","3.130","3.125","3.130","3.125","0.00%"
"2013- 10- 11","3.130","3.130","3.135","3.110","0.00%"
"2013- 10- 10","3.130","3.095","3.130","3.070","1.29%"
"2013- 10- 09","3.090","3.095","3.095","3.090","0.49%"
"2013- 10- 08","3.075","3.060","3.100","3.050","0.16%"
"2013- 10- 07","3.070","3.050","3.075","3.050","0.49%"
"2013- 10- 06","3.055","3.050","3.055","3.050","0.66%"
"2013- 10- 04","3.035","3.060","3.060","3.035","-0.65%"
"2013- 10- 03","3.055","3.060","3.060","3.055","-0.16%"
"2013- 10- 02","3.060","3.080","3.100","3.045","-0.65%"
"2013- 10- 01","3.080","3.050","3.090","3.050","1.32%"
"2013- 09- 30","3.040","3.060","3.065","3.030","-0.65%"
"2013- 09- 29","3.060","3.095","3.095","3.060","-1.13%"
"2013- 09- 27","3.095","3.090","3.100","3.060","0.81%"
"2013- 09- 26","3.070","3.060","3.110","3.050","0.33%"
"2013- 09- 25","3.060","3.050","3.065","3.020","0.99%"
"2013- 09- 24","3.030","3.030","3.050","3.020","-0.33%"
"2013- 09- 23","3.040","3.110","3.115","3.010","-2.25%"
"2013- 09- 22","3.110","3.110","3.110","3.110","0.00%"
"2013- 09- 17","3.110","3.155","3.160","3.090","-1.58%"
"2013- 09- 16","3.160","3.230","3.240","3.150","-2.17%"
"2013- 09- 15","3.230","3.230","3.230","3.230","0.00%"
"2013- 09- 13","3.230","3.210","3.255","3.200","0.94%"
"2013- 09- 12","3.200","3.230","3.295","3.200","-2.88%"
"2013- 09- 11","3.295","3.275","3.300","3.230","0.00%"
"2013- 09- 10","3.295","3.295","3.295","3.227","0.46%"
"2013- 09- 09","3.280","3.290","3.340","3.215","-0.61%"
