"날짜","종가","시가","고가","저가","변동 %"
"2023- 10- 01","4.252","4.012","4.351","4.012","5.48%"
"2023- 09- 01","4.031","3.791","4.083","3.761","5.47%"
"2023- 08- 01","3.822","3.734","4.013","3.713","1.70%"
"2023- 07- 01","3.758","3.676","3.856","3.566","1.65%"
"2023- 06- 01","3.697","3.539","3.738","3.495","4.67%"
"2023- 05- 01","3.532","3.396","3.681","3.243","5.28%"
"2023- 04- 01","3.355","3.350","3.457","3.200","0.66%"
"2023- 03- 01","3.333","3.760","3.895","3.161","-11.14%"
"2023- 02- 01","3.751","3.273","3.773","3.128","13.05%"
"2023- 01- 01","3.318","3.794","3.831","3.190","-11.16%"
"2022- 12- 01","3.735","3.619","3.761","3.352","2.22%"
"2022- 11- 01","3.654","4.243","4.276","3.594","-14.12%"
"2022- 10- 01","4.255","4.044","4.665","3.934","3.55%"
"2022- 09- 01","4.109","3.777","4.426","3.622","9.66%"
"2022- 08- 01","3.747","3.174","3.801","3.065","19.83%"
"2022- 07- 01","3.127","3.582","3.582","3.064","-14.02%"
"2022- 06- 01","3.637","3.369","3.847","3.350","9.42%"
"2022- 05- 01","3.324","3.315","3.503","3.128","2.43%"
"2022- 04- 01","3.245","2.960","3.413","2.933","9.30%"
"2022- 03- 01","2.969","2.623","3.086","2.600","10.99%"
"2022- 02- 01","2.675","2.551","2.779","2.550","3.44%"
"2022- 01- 01","2.586","2.282","2.639","2.274","14.68%"
"2021- 12- 01","2.255","2.222","2.256","2.080","1.67%"
"2021- 11- 01","2.218","2.552","2.562","2.174","-14.13%"
"2021- 10- 01","2.583","2.219","2.583","2.201","15.47%"
"2021- 09- 01","2.237","1.928","2.304","1.922","17.00%"
"2021- 08- 01","1.912","1.900","1.963","1.850","1.92%"
"2021- 07- 01","1.876","2.091","2.122","1.849","-10.33%"
"2021- 06- 01","2.092","2.174","2.214","1.985","-3.99%"
"2021- 05- 01","2.179","2.136","2.195","2.087","2.40%"
"2021- 04- 01","2.128","2.064","2.143","1.974","3.45%"
"2021- 03- 01","2.057","1.933","2.207","1.928","4.95%"
"2021- 02- 01","1.960","1.779","2.000","1.755","10.86%"
"2021- 01- 01","1.768","1.725","1.786","1.682","2.67%"
"2020- 12- 01","1.722","1.663","1.740","1.630","3.92%"
"2020- 11- 01","1.657","1.568","1.663","1.526","7.46%"
"2020- 10- 01","1.542","1.450","1.560","1.432","7.83%"
"2020- 09- 01","1.430","1.528","1.599","1.409","-5.49%"
"2020- 08- 01","1.513","1.293","1.525","1.276","16.65%"
"2020- 07- 01","1.297","1.380","1.428","1.258","-5.26%"
"2020- 06- 01","1.369","1.381","1.472","1.315","-0.51%"
"2020- 05- 01","1.376","1.517","1.523","1.225","-9.23%"
"2020- 04- 01","1.516","1.550","1.603","1.400","-2.19%"
"2020- 03- 01","1.550","1.300","1.734","1.253","16.19%"
"2020- 02- 01","1.334","1.520","1.677","1.333","-14.21%"
"2020- 01- 01","1.555","1.700","1.785","1.510","-7.00%"
"2019- 12- 01","1.672","1.654","1.740","1.589","2.77%"
"2019- 11- 01","1.627","1.696","1.919","1.615","-5.84%"
"2019- 10- 01","1.728","1.445","1.813","1.360","18.68%"
"2019- 09- 01","1.456","1.292","1.540","1.286","14.38%"
"2019- 08- 01","1.273","1.403","1.410","1.147","-8.48%"
"2019- 07- 01","1.391","1.613","1.618","1.391","-12.90%"
"2019- 06- 01","1.597","1.681","1.697","1.531","-5.05%"
"2019- 05- 01","1.682","1.859","1.909","1.680","-8.83%"
"2019- 04- 01","1.845","1.848","1.960","1.842","0.65%"
"2019- 03- 01","1.833","2.026","2.035","1.807","-7.75%"
"2019- 02- 01","1.987","1.997","2.023","1.943","-0.75%"
"2019- 01- 01","2.002","1.934","2.056","1.913","2.35%"
"2018- 12- 01","1.956","2.130","2.144","1.902","-7.08%"
"2018- 11- 01","2.105","2.245","2.312","2.084","-6.07%"
"2018- 10- 01","2.241","2.370","2.465","2.171","-4.96%"
"2018- 09- 01","2.358","2.319","2.438","2.231","1.99%"
"2018- 08- 01","2.312","2.562","2.605","2.310","-8.98%"
"2018- 07- 01","2.540","2.555","2.604","2.512","-0.59%"
"2018- 06- 01","2.555","2.691","2.756","2.543","-5.16%"
"2018- 05- 01","2.694","2.737","2.849","2.623","-0.66%"
"2018- 04- 01","2.712","2.639","2.767","2.569","3.35%"
"2018- 03- 01","2.624","2.716","2.770","2.615","-4.09%"
"2018- 02- 01","2.736","2.758","2.832","2.713","-1.19%"
"2018- 01- 01","2.769","2.466","2.807","2.463","12.24%"
"2017- 12- 01","2.467","2.496","2.523","2.419","-0.32%"
"2017- 11- 01","2.475","2.575","2.619","2.463","-3.62%"
"2017- 10- 01","2.568","2.389","2.600","2.375","8.13%"
"2017- 09- 01","2.375","2.267","2.435","2.232","5.04%"
"2017- 08- 01","2.261","2.243","2.356","2.217","1.62%"
"2017- 07- 01","2.225","2.228","2.329","2.203","0.50%"
"2017- 06- 01","2.214","2.233","2.234","2.105","-0.36%"
"2017- 05- 01","2.222","2.214","2.321","2.206","1.00%"
"2017- 04- 01","2.200","2.185","2.255","2.124","1.29%"
"2017- 03- 01","2.172","2.233","2.353","2.142","0.46%"
"2017- 02- 01","2.162","2.150","2.250","2.092","0.42%"
"2017- 01- 01","2.153","2.079","2.202","2.023","2.92%"
"2016- 12- 01","2.092","2.229","2.282","2.058","-2.52%"
"2016- 11- 01","2.146","1.693","2.250","1.567","27.51%"
"2016- 10- 01","1.683","1.460","1.732","1.443","20.13%"
"2016- 09- 01","1.401","1.481","1.611","1.389","-5.21%"
"2016- 08- 01","1.478","1.364","1.490","1.357","6.48%"
"2016- 07- 01","1.388","1.458","1.460","1.348","-5.45%"
"2016- 06- 01","1.468","1.760","1.768","1.453","-18.98%"
"2016- 05- 01","1.812","1.796","1.848","1.756","1.06%"
"2016- 04- 01","1.793","1.783","1.873","1.760","0.34%"
"2016- 03- 01","1.787","1.820","1.947","1.759","0.06%"
"2016- 02- 01","1.786","1.959","1.961","1.756","-9.80%"
"2016- 01- 01","1.980","2.084","2.084","1.964","-5.04%"
"2015- 12- 01","2.085","2.262","2.345","2.050","-7.29%"
"2015- 11- 01","2.249","2.106","2.346","2.106","6.74%"
"2015- 10- 01","2.107","2.074","2.154","2.002","2.48%"
"2015- 09- 01","2.056","2.310","2.321","2.050","-10.22%"
"2015- 08- 01","2.290","2.405","2.450","2.198","-5.57%"
"2015- 07- 01","2.425","2.474","2.540","2.315","-0.70%"
"2015- 06- 01","2.442","2.314","2.559","2.287","5.58%"
"2015- 05- 01","2.313","2.459","2.595","2.312","-3.67%"
"2015- 04- 01","2.401","2.162","2.427","2.047","11.00%"
"2015- 03- 01","2.163","2.310","2.397","2.151","-7.88%"
"2015- 02- 01","2.348","2.205","2.484","2.205","4.82%"
"2015- 01- 01","2.240","2.622","2.664","2.210","-14.01%"
"2014- 12- 01","2.605","2.570","2.791","2.560","0.70%"
"2014- 11- 01","2.587","2.660","2.801","2.587","-2.12%"
"2014- 10- 01","2.643","2.838","2.929","2.625","-7.59%"
"2014- 09- 01","2.860","2.990","3.127","2.856","-5.80%"
"2014- 08- 01","3.036","3.049","3.160","3.018","-0.56%"
"2014- 07- 01","3.053","3.171","3.175","2.944","-3.51%"
"2014- 06- 01","3.164","3.350","3.409","3.163","-5.27%"
"2014- 05- 01","3.340","3.512","3.513","3.311","-5.33%"
"2014- 04- 01","3.528","3.521","3.595","3.504","0.28%"
"2014- 03- 01","3.518","3.490","3.608","3.467","0.51%"
"2014- 02- 01","3.500","3.580","3.620","3.460","-3.31%"
"2014- 01- 01","3.620","3.600","3.720","3.550","1.40%"
"2013- 12- 01","3.570","3.690","3.780","3.530","-2.72%"
"2013- 11- 01","3.670","3.390","3.700","3.390","8.26%"
"2013- 10- 01","3.390","3.410","3.580","3.320","-0.88%"
"2013- 09- 01","3.420","3.540","3.750","3.360","-3.12%"
"2013- 08- 01","3.530","3.460","3.760","3.450","0.86%"
"2013- 07- 01","3.500","3.390","3.720","3.330","2.64%"
"2013- 06- 01","3.410","3.100","3.690","3.090","10.00%"
"2013- 05- 01","3.100","2.710","3.120","2.700","11.51%"
"2013- 04- 01","2.780","2.810","2.980","2.720","-0.71%"
"2013- 03- 01","2.800","2.940","3.030","2.750","-4.76%"
"2013- 02- 01","2.940","3.100","3.150","2.930","-5.16%"
"2013- 01- 01","3.100","3.190","3.210","2.960","-1.59%"
"2012- 12- 01","3.150","3.040","3.250","3.020","4.30%"
"2012- 11- 01","3.020","2.960","3.050","2.930","2.03%"
"2012- 10- 01","2.960","3.010","3.060","2.870","-1.33%"
"2012- 09- 01","3.000","2.990","3.150","2.970","-0.66%"
"2012- 08- 01","3.020","3.100","3.240","3.000","-4.13%"
"2012- 07- 01","3.150","3.590","3.650","3.000","-13.22%"
"2012- 06- 01","3.630","3.660","3.700","3.480","-1.63%"
"2012- 05- 01","3.690","3.810","3.820","3.690","-3.15%"
"2012- 04- 01","3.810","3.970","4.000","3.810","-3.30%"
"2012- 03- 01","3.940","3.840","4.090","3.840","3.41%"
"2012- 02- 01","3.810","3.750","3.860","3.740","1.33%"
"2012- 01- 01","3.760","3.770","3.820","3.750","-0.27%"
"2011- 12- 01","3.770","3.800","3.900","3.760","0.00%"
"2011- 11- 01","3.770","3.820","3.850","3.730","-2.33%"
"2011- 10- 01","3.860","3.960","3.980","3.730","-1.78%"
"2011- 09- 01","3.930","3.870","3.940","3.530","1.55%"
"2011- 08- 01","3.870","4.200","4.240","3.810","-7.64%"
"2011- 07- 01","4.190","4.300","4.380","4.110","-2.78%"
"2011- 06- 01","4.310","4.240","4.370","4.170","1.89%"
"2011- 05- 01","4.230","4.470","4.500","4.180","-5.58%"
"2011- 04- 01","4.480","4.440","4.560","4.400","0.00%"
"2011- 03- 01","4.480","4.680","4.730","4.200","-4.07%"
"2011- 02- 01","4.670","4.740","4.880","4.640","-0.85%"
"2011- 01- 01","4.710","4.500","4.760","4.500","5.37%"
"2010- 12- 01","4.470","4.350","4.610","4.300","2.29%"
"2010- 11- 01","4.370","4.380","4.630","4.320","0.46%"
"2010- 10- 01","4.350","4.120","4.420","3.910","5.58%"
"2010- 09- 01","4.120","4.370","4.490","4.100","-6.15%"
"2010- 08- 01","4.390","4.840","4.870","4.300","-9.30%"
"2010- 07- 01","4.840","4.940","5.010","4.830","-2.02%"
"2010- 06- 01","4.940","4.920","5.040","4.860","0.00%"
"2010- 05- 01","4.940","4.830","5.060","4.810","2.28%"
"2010- 04- 01","4.830","4.920","5.020","4.780","-2.23%"
"2010- 03- 01","4.940","5.140","5.150","4.670","-3.70%"
"2010- 02- 01","5.130","5.340","5.380","5.120","-3.93%"
"2010- 01- 01","5.340","5.410","5.420","5.280","-1.11%"
"2009- 12- 01","5.400","5.260","5.400","5.210","3.05%"
"2009- 11- 01","5.240","5.440","5.520","5.220","-3.68%"
"2009- 10- 01","5.440","5.320","5.660","5.260","2.06%"
"2009- 09- 01","5.330","5.450","5.480","5.310","-2.56%"
"2009- 08- 01","5.470","5.370","5.530","5.370","3.21%"
"2009- 07- 01","5.300","5.100","5.380","4.980","2.32%"
"2009- 06- 01","5.180","5.150","5.390","5.110","0.19%"
"2009- 05- 01","5.170","4.820","5.200","4.820","10.47%"
"2009- 04- 01","4.680","5.110","5.120","4.570","-9.83%"
"2009- 03- 01","5.190","5.100","5.190","4.680","1.96%"
"2009- 02- 01","5.090","4.930","5.470","4.930","9.46%"
"2009- 01- 01","4.650","4.230","4.650","4.200","4.73%"
"2008- 12- 01","4.440","5.710","5.710","4.440","-23.32%"
"2008- 11- 01","5.790","5.500","6.020","5.300","4.89%"
"2008- 10- 01","5.520","5.840","5.930","5.070","-5.96%"
"2008- 09- 01","5.870","6.080","6.150","5.740","-1.18%"
"2008- 08- 01","5.940","5.900","6.080","5.690","0.68%"
"2008- 07- 01","5.900","6.010","6.190","5.870","-1.34%"
"2008- 06- 01","5.980","5.780","5.990","5.730","5.28%"
"2008- 05- 01","5.680","5.160","5.680","5.160","10.72%"
"2008- 04- 01","5.130","5.310","5.310","5.080","-4.29%"
"2008- 03- 01","5.360","5.190","5.500","5.190","2.29%"
"2008- 02- 01","5.240","5.240","5.340","5.210","0.19%"
"2008- 01- 01","5.230","5.740","6.010","5.230","-8.89%"
"2007- 12- 01","5.740","5.740","6.030","5.720","-1.71%"
"2007- 11- 01","5.840","5.600","5.870","5.410","4.85%"
"2007- 10- 01","5.570","5.600","5.640","5.460","-0.54%"
"2007- 09- 01","5.600","5.600","5.600","5.600","0.90%"
"2007- 08- 01","5.550","5.550","5.550","5.550","3.16%"
"2007- 07- 01","5.380","5.380","5.380","5.380","-2.54%"
"2007- 06- 01","5.520","5.520","5.520","5.520","3.76%"
"2007- 05- 01","5.320","5.320","5.320","5.320","3.30%"
"2007- 04- 01","5.150","5.150","5.150","5.150","4.46%"
"2007- 03- 01","4.930","4.930","4.930","4.930","0.20%"
"2007- 02- 01","4.920","4.920","4.920","4.920","-2.38%"
"2007- 01- 01","5.040","5.040","5.040","5.040","-0.20%"
"2006- 12- 01","5.050","5.050","5.050","5.050","1.81%"
"2006- 11- 01","4.960","4.960","4.960","4.960","1.02%"
"2006- 10- 01","4.910","4.910","4.910","4.910","4.03%"
"2006- 09- 01","4.720","4.720","4.720","4.720","-4.84%"
"2006- 08- 01","4.960","4.960","4.960","4.960","-1.78%"
"2006- 07- 01","5.050","5.050","5.050","5.050","-2.88%"
"2006- 06- 01","5.200","5.200","5.200","5.200","0.97%"
"2006- 05- 01","5.150","5.150","5.150","5.150","-1.72%"
"2006- 04- 01","5.240","5.240","5.240","5.240","-3.14%"
"2006- 03- 01","5.410","5.410","5.410","5.410","3.05%"
"2006- 02- 01","5.250","5.250","5.250","5.250","-3.85%"
"2006- 01- 01","5.460","5.460","5.460","5.460","-2.33%"
"2005- 12- 01","5.590","5.590","5.590","5.590","-1.76%"
"2005- 11- 01","5.690","5.690","5.690","5.690","3.83%"
"2005- 10- 01","5.480","5.480","5.480","5.480","7.03%"
"2005- 09- 01","5.120","5.120","5.120","5.120","10.82%"
"2005- 08- 01","4.620","4.620","4.620","4.620","-7.97%"
"2005- 07- 01","5.020","5.020","5.020","5.020","6.13%"
"2005- 06- 01","4.730","4.730","4.730","4.730","8.49%"
"2005- 05- 01","4.360","4.360","4.360","4.360","-5.01%"
"2005- 04- 01","4.590","4.590","4.590","4.590","-2.75%"
"2005- 03- 01","4.720","4.720","4.720","4.720","-0.84%"
"2005- 02- 01","4.760","4.760","4.760","4.760","-2.06%"
"2005- 01- 01","4.860","4.860","4.860","4.860","27.56%"
"2004- 12- 01","3.810","3.810","3.810","3.810","-3.05%"
"2004- 11- 01","3.930","3.930","3.930","3.930","-0.51%"
"2004- 10- 01","3.950","3.950","3.950","3.950","-1.50%"
"2004- 09- 01","4.010","4.010","4.010","4.010","-2.20%"
"2004- 08- 01","4.100","4.100","4.100","4.100","-12.39%"
"2004- 07- 01","4.680","4.680","4.680","4.680","-5.84%"
"2004- 06- 01","4.970","4.970","4.970","4.970","0.81%"
"2004- 05- 01","4.930","4.930","4.930","4.930","-5.01%"
"2004- 04- 01","5.190","5.190","5.190","5.190","-0.38%"
"2004- 03- 01","5.210","5.210","5.210","5.210","-4.05%"
"2004- 02- 01","5.430","5.430","5.430","5.430","-1.09%"
"2004- 01- 01","5.490","5.490","5.490","5.490","3.78%"
"2003- 12- 01","5.290","5.290","5.290","5.290","-0.38%"
"2003- 11- 01","5.310","5.310","5.310","5.310","4.12%"
"2003- 10- 01","5.100","5.100","5.100","5.100","9.44%"
"2003- 09- 01","4.660","4.660","4.660","4.660","-7.72%"
"2003- 08- 01","5.050","5.050","5.050","5.050","-3.81%"
"2003- 07- 01","5.250","5.250","5.250","5.250","13.39%"
"2003- 06- 01","4.630","4.630","4.630","4.630","1.98%"
"2003- 05- 01","4.540","4.540","4.540","4.540","-7.54%"
"2003- 04- 01","4.910","4.910","4.910","4.910","-2.00%"
"2003- 03- 01","5.010","5.010","5.010","5.010","-1.76%"
"2003- 02- 01","5.100","5.100","5.100","5.100","-1.73%"
"2003- 01- 01","5.190","5.190","5.190","5.190","-9.42%"
"2002- 12- 01","5.730","5.730","5.730","5.730","-2.55%"
"2002- 11- 01","5.880","5.880","5.880","5.880","-1.51%"
"2002- 10- 01","5.970","5.970","5.970","5.970","-1.97%"
"2002- 09- 01","6.090","6.090","6.090","6.090","-1.14%"
"2002- 08- 01","6.160","6.160","6.160","6.160","-2.69%"
"2002- 07- 01","6.330","6.330","6.330","6.330","-1.09%"
"2002- 06- 01","6.400","6.400","6.400","6.400","-9.22%"
"2002- 05- 01","7.050","7.050","7.050","7.050","-2.22%"
"2002- 04- 01","7.210","7.210","7.210","7.210","-1.64%"
"2002- 03- 01","7.330","7.330","7.330","7.330","5.47%"
"2002- 02- 01","6.950","6.950","6.950","6.950","-2.39%"
"2002- 01- 01","7.120","7.120","7.120","7.120","2.01%"
"2001- 12- 01","6.980","6.980","6.980","6.980","1.16%"
"2001- 11- 01","6.900","6.900","6.900","6.900","0.73%"
"2001- 10- 01","6.850","6.850","6.850","6.850","13.41%"
"2001- 09- 01","6.040","6.040","6.040","6.040","-2.58%"
